연번,지구명,유형,위치,시설명,시설물유형,지정일자,지정사유,위험요인,추진사항,시설관리기관,시설관리연락처
1,광화문 일대,침수위험,종로구 적선동 51-2 일원,배수시설,지방도,2022-11-24,내수배제 불량,내수침수,추진중,종로구청,02-2148-3202
2,화곡1지구,침수위험,강서구 화곡1동 1106-1 일원,한강,국가하천 ,2011-04-18,인명피해 발생우려가 매우 높은 지역 ,봉제산 및 우장산 빗물이 화곡로 및 까치산길의 하수암거에 일시에 유입되어 강서구청 사거리에서 병목현상 발생 배수능력 부족에 따른 침수피해 발생,추진중,강서구청 물관리과,02-2600-6955
3,방배사당지구 ,침수위험,방배2동 493 일원,사당천 ,지방1급하천 ,2011-02-17,"내수침수 현재 방배 2,4배수분구 유역이 사당천 하류부에 유입 ",침수위험,추진중,서초구청 물관리과,02-2155-7138
4,서초지구,침수위험,서초2동 1327,저류조,지방도 ,2006-03-10,침수위험(주변 고지 배수로의 용량부족 및 간선하수도의 용량부족),침수위험,추진중,서초구청 물관리과,02-2155-7138
5,개화지구 ,침수위험,강서구 방화2동 600-1 일원,굴포천,지방1급하천,2006-03-02,인명피해 발생우려가 매우 높은 지역,봉제산 및 우장산 빗물이 화곡로 및 까치산길의 하수암거에 일시에 유입되어 강서구청 사거리에서 병목현상 발생 배수능력 부족에 따른 침수피해 발생,고시실효,강서구청 치수과,02-2600-6955
