"동별(1)",동별(2),2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
"동별(1)",동별(2),합계,합계,합계,농업 임업 및 어업,농업 임업 및 어업,광업,광업,제조업,제조업,전기 가스 증기 및 공기조절 공급업,전기 가스 증기 및 공기조절 공급업,수도 하수 및 폐기물 처리 원료 재생업,수도 하수 및 폐기물 처리 원료 재생업,건설업,건설업,도매 및 소매업,도매 및 소매업,운수 및 창고업,운수 및 창고업,숙박 및 음식점업,숙박 및 음식점업,정보통신업,정보통신업,금융 및 보험업,금융 및 보험업,부동산업,부동산업,전문 과학 및 기술 서비스업,전문 과학 및 기술 서비스업,사업시설 관리 사업 지원 및 임대 서비스업,사업시설 관리 사업 지원 및 임대 서비스업,공공행정 국방 및 사회보장 행정,공공행정 국방 및 사회보장 행정,교육 서비스업,교육 서비스업,보건업 및 사회복지 서비스업,보건업 및 사회복지 서비스업,예술 스포츠 및 여가관련 서비스업,예술 스포츠 및 여가관련 서비스업, 협회 및 단체 수리 및 기타 개인 서비스업, 협회 및 단체 수리 및 기타 개인 서비스업
"동별(1)",동별(2),사업체수,총종사자수,여성종사자수,소계,여성종사자수,소계,여성종사자수,소계,여성종사자수,소계,여성종사자수,소계,여성종사자수,소계,여성종사자수,소계,여성종사자수,소계,여성종사자수,소계,여성종사자수,소계,여성종사자수,소계,여성종사자수,소계,여성종사자수,소계,여성종사자수,소계,여성종사자수,소계,여성종사자수,소계,여성종사자수,소계,여성종사자수,소계,여성종사자수,소계,여성종사자수
"합계",양천구,37760,130568,66096,1,-,1,-,3774,1761,389,103,533,108,8121,1149,19557,9494,11959,930,11670,7374,4691,1611,2540,1591,4066,1651,3688,1621,6786,2911,7160,2885,16022,11224,20447,17011,3139,1488,6024,3184
"합계",강서구,60611,312532,137909,26,2,-,-,7884,3385,704,73,851,109,19079,3135,43916,18640,51339,17478,21185,12771,24685,7587,5245,2960,8273,3040,36442,11371,26534,12282,5938,2414,15006,10436,30828,25057,4528,2229,10069,4940
"합계",구로구,51832,232534,102046,14,5,-,-,16601,5007,145,27,271,31,13912,2681,40283,16175,9500,987,13674,8687,32091,10174,6937,4205,6419,2493,19079,6641,26866,12837,5033,2046,10492,7031,21385,17692,2737,1335,7095,3992
"합계",금천구,48067,257675,101058,1,-,-,-,38144,13809,147,46,473,51,15234,2451,40045,15811,8229,1476,9918,6439,49716,16059,3268,1712,5248,1792,34751,12544,25320,11942,4156,1875,6556,4297,9736,7900,1711,787,5022,2067
"합계",영등포구,74118,442395,188146,4,-,-,-,11338,3407,716,216,455,64,29926,5081,53425,22414,15952,3630,25285,15225,40678,13131,74080,32069,10829,3748,43916,16275,75731,37585,10426,2925,9509,6482,24860,18668,4465,2150,10800,5076
"합계",동작구,27532,109155,55674,2,1,-,-,1746,901,155,39,440,109,5270,880,14392,6503,3530,316,11570,6918,5281,1968,3463,2120,4563,1752,9703,3724,6820,3281,3980,1720,13788,8164,17030,13535,2468,1188,4954,2555
"합계",관악구,37657,125747,61485,5,1,1,-,3676,1815,17,7,204,22,8273,1243,16733,7984,7003,907,16103,9015,4961,1456,1660,873,4742,1631,6167,2787,6536,2738,4208,1834,19351,11099,16717,13475,3333,1523,6057,3075
"합계",서초구,72068,493979,210746,40,15,46,15,6097,2772,363,118,536,52,52393,7484,70768,30788,12455,2498,26956,15672,42485,14322,19990,8668,18341,6137,85067,32421,65918,31833,13179,6152,23909,15350,33993,26052,7112,3419,14331,6978
"합계",강남구,101160,755251,350638,104,37,42,3,18040,9726,1030,204,969,215,46068,8689,139423,67566,12234,3072,50476,26879,92747,34304,33950,13925,32834,11275,131253,54874,70815,35972,8299,4061,33770,21404,51427,41027,9130,4044,22640,13361
"합계",송파구,75957,418595,170568,56,15,20,3,8934,3564,113,37,750,118,59810,8595,84332,36636,19776,3000,29316,16664,35478,10901,9271,4839,17341,6409,48352,15834,25919,11364,8194,3325,19493,13670,32354,26098,8362,3785,10724,5711
"합계",강동구,43775,169270,81698,101,19,-,-,3887,1631,177,52,466,86,20717,4159,28196,13597,10804,764,14343,8672,4097,1343,3086,2023,5298,2034,10336,2970,16213,8417,4993,2488,11646,8225,25447,20416,2944,1384,6519,3418
