 format: day,hour,value location:62_128 Start : 20220101 
 10, 1000, 246.000000 
 10, 1100, 256.000000 
 10, 1200, 243.000000 
 10, 1300, 238.000000 
 10, 1400, 320.000000 
 10, 1500, 267.000000 
 10, 1600, 264.000000 
 10, 1700, 271.000000 
 10, 1800, 350.000000 
 10, 1900, 42.000000 
 10, 2000, 287.000000 
 10, 2100, 289.000000 
 10, 2200, 273.000000 
 10, 2300, 264.000000 
 11, 0000, 254.000000 
 11, 0100, 282.000000 
 11, 0200, 257.000000 
 11, 0300, 274.000000 
 11, 0400, 276.000000 
 11, 0500, 308.000000 
 11, 0600, 266.000000 
 11, 0700, 268.000000 
 11, 0800, 255.000000 
 11, 0900, 274.000000 
 11, 1000, 272.000000 
 11, 1100, 323.000000 
 11, 1200, 348.000000 
 11, 1300, 28.000000 
 11, 1400, 79.000000 
 11, 1500, 88.000000 
 11, 1600, 52.000000 
 11, 1700, 67.000000 
 11, 1800, 71.000000 
 11, 1900, 64.000000 
 11, 2000, 71.000000 
 11, 2100, 78.000000 
 11, 2200, 80.000000 
 11, 2300, 71.000000 
 12, 0000, 35.000000 
 12, 0100, 284.000000 
 12, 0200, 246.000000 
 12, 0300, 208.000000 
 12, 0400, 241.000000 
 12, 0500, 271.000000 
 12, 0600, 267.000000 
 12, 0700, 288.000000 
 12, 0800, 274.000000 
 12, 0900, 262.000000 
 12, 1000, 108.000000 
 12, 1100, 270.000000 
 12, 1200, 292.000000 
 12, 1300, 280.000000 
 12, 1400, 319.000000 
 12, 1500, 328.000000 
 12, 1600, 63.000000 
 12, 1700, 71.000000 
 12, 1800, 88.000000 
 12, 1900, 46.000000 
 12, 2000, 78.000000 
 12, 2100, 248.000000 
 12, 2200, 264.000000 
 12, 2300, 273.000000 
 13, 0000, 288.000000 
 13, 0100, 282.000000 
 13, 0200, 274.000000 
 13, 0300, 261.000000 
 13, 0400, 260.000000 
 13, 0500, 257.000000 
 13, 0600, 262.000000 
 13, 0700, 266.000000 
 13, 0800, 284.000000 
 13, 0900, 263.000000 
 13, 1000, 263.000000 
 13, 1100, 272.000000 
 13, 1200, 270.000000 
 13, 1300, 66.000000 
 13, 1400, 69.000000 
 13, 1500, 71.000000 
 13, 1600, 75.000000 
 13, 1700, 160.000000 
 13, 1800, 87.000000 
 13, 1900, 68.000000 
 13, 2000, 61.000000 
 13, 2100, 79.000000 
 13, 2200, 88.000000 
 13, 2300, 80.000000 
 14, 0000, 119.000000 
 14, 0100, 109.000000 
 14, 0200, 72.000000 
 14, 0300, 247.000000 
 14, 0400, 238.000000 
 14, 0500, 236.000000 
 14, 0600, 214.000000 
 14, 0700, 203.000000 
 14, 0800, 56.000000 
 14, 0900, 64.000000 
 14, 1000, 72.000000 
 14, 1100, 69.000000 
 14, 1200, 74.000000 
 14, 1300, 74.000000 
 14, 1400, 52.000000 
 14, 1500, 100.000000 
 14, 1600, 78.000000 
 14, 1700, 69.000000 
 14, 1800, 45.000000 
 14, 1900, 73.000000 
 14, 2000, 64.000000 
 14, 2100, 71.000000 
 14, 2200, 55.000000 
 14, 2300, 69.000000 
 15, 0000, 70.000000 
 15, 0100, 124.000000 
 15, 0200, 75.000000 
 15, 0300, 95.000000 
 15, 0400, 134.000000 
 15, 0500, 71.000000 
 15, 0600, 89.000000 
 15, 0700, 68.000000 
 15, 0800, 76.000000 
 15, 0900, 37.000000 
 15, 1000, 70.000000 
 15, 1100, 59.000000 
 15, 1200, 22.000000 
 15, 1300, 46.000000 
 15, 1400, 342.000000 
 15, 1500, 63.000000 
 15, 1600, 64.000000 
 15, 1700, 86.000000 
 15, 1800, 48.000000 
 15, 1900, 272.000000 
 15, 2000, 268.000000 
 15, 2100, 264.000000 
 15, 2200, 248.000000 
 15, 2300, 270.000000 
 16, 0000, 319.000000 
 16, 0100, 268.000000 
 16, 0200, 293.000000 
 16, 0300, 267.000000 
 16, 0400, 267.000000 
 16, 0500, 257.000000 
 16, 0600, 264.000000 
 16, 0700, 277.000000 
 16, 0800, 267.000000 
 16, 0900, 256.000000 
 16, 1000, 28.000000 
 16, 1100, 285.000000 
 16, 1200, 308.000000 
 16, 1300, 259.000000 
 16, 1400, 4.000000 
 16, 1500, 20.000000 
 16, 1600, 76.000000 
 16, 1700, 75.000000 
 16, 1800, 86.000000 
 16, 1900, 80.000000 
 16, 2000, 68.000000 
 16, 2100, 52.000000 
 16, 2200, 58.000000 
 16, 2300, 73.000000 
 17, 0000, 75.000000 
 17, 0100, 304.000000 
 17, 0200, 248.000000 
 17, 0300, 253.000000 
 17, 0400, 267.000000 
 17, 0500, 238.000000 
 17, 0600, 251.000000 
 17, 0700, 248.000000 
 17, 0800, 281.000000 
 17, 0900, 282.000000 
 17, 1000, 274.000000 
 17, 1100, 281.000000 
 17, 1200, 270.000000 
 17, 1300, 313.000000 
 17, 1400, 331.000000 
 17, 1500, 56.000000 
 17, 1600, 59.000000 
 17, 1700, 69.000000 
 17, 1800, 64.000000 
 17, 1900, 74.000000 
 17, 2000, 70.000000 
 17, 2100, 68.000000 
 17, 2200, 63.000000 
 17, 2300, 70.000000 
 18, 0000, 89.000000 
 18, 0100, 112.000000 
 18, 0200, 276.000000 
 18, 0300, 296.000000 
 18, 0400, 234.000000 
 18, 0500, 231.000000 
 18, 0600, 263.000000 
 18, 0700, 273.000000 
 18, 0800, 291.000000 
 18, 0900, 244.000000 
 18, 1000, 62.000000 
 18, 1100, 39.000000 
 18, 1200, 52.000000 
 18, 1300, 66.000000 
 18, 1400, 63.000000 
 18, 1500, 68.000000 
 18, 1600, 61.000000 
 18, 1700, 55.000000 
 18, 1800, 71.000000 
 18, 1900, 71.000000 
 18, 2000, 54.000000 
 18, 2100, 45.000000 
 18, 2200, 50.000000 
 18, 2300, 62.000000 
 19, 0000, 42.000000 
 19, 0100, 68.000000 
 19, 0200, 52.000000 
 19, 0300, 67.000000 
 19, 0400, 67.000000 
 19, 0500, 125.000000 
 19, 0600, 83.000000 
 19, 0700, 259.000000 
 19, 0800, 262.000000 
 19, 0900, 326.000000 
 19, 1000, 335.000000 
 19, 1100, 343.000000 
 19, 1200, 19.000000 
 19, 1300, 353.000000 
 19, 1400, 79.000000 
 19, 1500, 73.000000 
 19, 1600, 66.000000 
 19, 1700, 65.000000 
 19, 1800, 61.000000 
 19, 1900, 65.000000 
 19, 2000, 65.000000 
 19, 2100, 70.000000 
 19, 2200, 78.000000 
 19, 2300, 68.000000 
 20, 0000, 91.000000 
 20, 0100, 77.000000 
 20, 0200, 322.000000 
 20, 0300, 92.000000 
 20, 0400, 159.000000 
 20, 0500, 249.000000 
 20, 0600, 243.000000 
 20, 0700, 275.000000 
 20, 0800, 21.000000 
 20, 0900, 75.000000 
 20, 1000, 298.000000 
 20, 1100, 69.000000 
 20, 1200, 58.000000 
 20, 1300, 65.000000 
 20, 1400, 67.000000 
 20, 1500, 65.000000 
 20, 1600, 74.000000 
 20, 1700, 63.000000 
 20, 1800, 69.000000 
